SV_ID	gene_count	exon_count	tran_count	rest_count	ID_regl	df1_count	df2_count	df3_count	df4_count	df5_count	df6_count	df7_count
BND00001739	1	0	9	0	15552	5	9	0	2	2	3	0
BND00002273	1	4	1	8	15820	14	0	0	0	0	0	0
BND00002982	1	14	1	18	27098	8	1	0	0	0	0	0
BND00003460	1	139	16	154	27298	3	0	0	0	0	0	0
BND00003672	1	10	1	14	27405	9	0	0	0	0	0	0
BND00003704	1	0	1	0	27416	13	0	0	0	0	0	0
BND00004310	1	0	2	0	27729	3	0	0	0	0	0	0
BND00005055	1	0	1	0	29997	5	0	0	0	0	0	0
BND00005143	1	0	4	0	30082	0	1	0	0	0	0	0
BND00005394	1	0	1	0	30149	5	0	0	0	2	0	0
BND00005451	1	7	4	14	30178	2	0	0	0	0	0	0
BND00006373	1	0	4	0	30513	2	0	0	0	0	0	0
BND00006630	1	0	1	0	32778	4	1	0	0	0	0	0
BND00006663	1	0	16	0	32792	2	0	0	0	0	0	0
BND00006740	1	0	4	0	32822	0	1	0	0	0	0	0
DEL00000023	1	0	1	0	10	2	0	0	0	0	0	0
DEL00000034	1	0	49	0	16	4	0	0	0	0	0	0
DEL00000074	1	0	2	0	44	12	0	0	0	0	0	0
DEL00000110	1	6	1	14	62	19	0	0	0	0	0	0
DEL00000113	1	0	1	0	63	21	0	0	0	0	0	0
DEL00000115	1	0	4	0	65	19	0	0	0	0	0	0
DEL00000133	1	10	1	12	71	21	0	0	0	0	0	0
DEL00000172	1	0	1	0	93	27	0	0	0	0	0	0
DEL00000172	1	0	1	0	94	27	0	0	0	0	0	0
DEL00000182	1	0	4	0	100	29	2	0	0	0	0	0
DEL00000184	1	0	1	0	101	27	0	0	0	0	0	0
DEL00000188	1	0	3	0	104	25	0	0	0	0	0	0
DEL00000192	1	0	25	0	106	28	1	2	0	0	0	0
DEL00000201	1	0	16	0	113	24	0	0	0	0	0	0
DEL00000215	1	0	1	0	120	25	0	0	0	0	0	0
DEL00000224	1	0	9	0	124	29	0	2	0	0	0	0
DEL00000227	1	0	1	0	125	26	1	0	0	0	0	0
DEL00000228	1	0	1	0	126	26	1	0	0	0	0	0
