SV_ID	CHR	DUP_start	DUP_end	gene_id	gene_name	gene_chr	gene_start	gene_end	gene_biotype
DUP00000025	1	70345860	75529764	ENSBTAG00000014874	FYTTD1	1	70342777	70373184	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000001890	RUBCN	1	70372268	70433147	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000032819	MUC20	1	70460152	70476679	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000014721	MUC4	1	70484258	70515363	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000021364	TNK2	1	70600179	70627585	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000049459	NA	1	70640306	70641382	lncRNA
DUP00000025	1	70345860	75529764	ENSBTAG00000032719	TFRC	1	70652654	70679923	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000021515	ZDHHC19	1	70789424	70802153	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000012347	SLC51A	1	70809680	70827658	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000016979	PCYT1A	1	70824603	70878013	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000032684	TCTEX1D2	1	70881969	70909767	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000040161	NA	1	70913018	70922405	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000007577	UBXN7	1	70935047	70987415	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000013317	RNF168	1	71020360	71048691	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000013319	SMCO1	1	71044905	71052495	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000014660	WDR53	1	71087882	71101117	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000006388	FBXO45	1	71101138	71112719	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000009614	NRROS	1	71155752	71182955	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000013192	CEP19	1	71223038	71228675	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000049165	NA	1	71229011	71238780	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000048195	PIGX	1	71232257	71252236	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000047856	PAK2	1	71257814	71346318	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000032674	SENP5	1	71370900	71400231	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000008873	NCBP2	1	71404768	71410588	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000048390	NCBP2AS2	1	71410763	71411062	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000011659	PIGZ	1	71415019	71440654	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000002998	MELTF	1	71476619	71500652	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000020378	DLG1	1	71513093	71780855	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000045354	NA	1	71525049	71525175	snoRNA
DUP00000025	1	70345860	75529764	ENSBTAG00000051739	U6	1	71741919	71742025	snRNA
DUP00000025	1	70345860	75529764	ENSBTAG00000048826	NA	1	71763573	71764594	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000053541	NA	1	71842568	71844284	lncRNA
DUP00000025	1	70345860	75529764	ENSBTAG00000048225	NA	1	71868325	71868900	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000000448	BDH1	1	71964668	72000537	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000052232	NA	1	72057854	72061911	lncRNA
DUP00000025	1	70345860	75529764	ENSBTAG00000023600	APOD	1	72061983	72075639	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000050331	NA	1	72071105	72072121	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000006724	PPP1R2	1	72100094	72118577	protein_coding
