SV_ID	gene_count	exon_count	tran_count	rest_count	ID_regl	df1_count	df2_count	df3_count	df4_count	df5_count	df6_count	df7_count
DEL00000061	1	0	6	0	4	10	0	0	0	0	0	0
DEL00000148	2	0	13	0	16	6	1	0	0	0	0	0
DEL00000232	1	0	4	0	269	16	0	0	0	0	0	0
DEL00000238	1	0	1	0	270	15	0	0	0	0	0	0
DEL00000263	1	0	2	0	273	8	0	0	0	0	0	0
DEL00000343	1	0	25	0	279	10	1	2	0	0	0	0
DEL00000368	1	76	4	100	283	9	0	0	0	0	0	0
DEL00000377	1	0	16	0	284	5	0	0	0	0	0	0
DEL00000431	1	0	2	0	288	0	0	0	0	0	0	0
DEL00000436	1	0	24	0	290	1	2	0	0	0	0	0
DEL00000490	1	0	1	0	296	11	0	0	0	0	0	0
DEL00000601	1	0	1	0	306	0	0	0	0	0	0	0
DEL00000610	1	0	25	0	308	2	0	0	0	0	0	0
DEL00000666	1	0	2	0	313	10	0	0	0	0	0	0
DEL00000692	1	0	1	0	316	14	0	2	0	2	0	0
DEL00000707	1	0	16	0	319	3	0	0	0	0	0	0
DEL00000707	1	0	16	0	320	3	0	0	0	0	0	0
DEL00000758	1	0	1	0	322	5	0	0	0	0	0	0
DEL00000766	1	0	4	0	325	5	0	0	0	0	0	0
DEL00000808	2	2	3	8	329	9	2	2	0	0	0	0
DEL00000880	1	0	1	0	335	1	0	0	0	0	0	0
DEL00000880	1	0	1	0	336	1	0	0	0	0	0	0
DEL00000907	2	1	2	0	340	2	0	2	0	0	0	0
DEL00001016	1	0	4	0	343	3	0	0	0	0	0	0
DEL00001021	1	0	4	0	345	5	0	0	0	0	0	0
DEL00001022	1	0	1	0	346	5	0	0	0	0	0	0
DEL00001073	1	0	2	0	351	0	8	0	0	0	0	0
DEL00001098	1	0	16	0	354	3	0	0	0	0	0	0
DEL00001327	1	5	1	7	0	0	0	0	0	0	0	0
DUP00000217	1	558	9	852	32	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	33	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	34	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	35	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	36	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	37	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	38	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	39	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	40	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	41	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	42	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	43	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	44	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	45	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	46	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	47	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	48	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	49	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	50	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	51	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	52	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	53	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	54	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	55	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	56	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	57	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	58	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	59	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	60	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	61	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	62	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	63	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	64	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	65	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	66	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	67	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	68	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	69	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	70	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	71	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	72	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	73	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	74	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	75	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	76	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	77	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	78	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	79	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	80	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	81	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	82	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	83	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	84	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	85	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	86	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	87	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	88	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	89	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	90	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	91	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	92	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	93	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	94	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	95	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	96	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	97	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	98	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	99	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	100	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	101	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	102	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	103	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	104	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	105	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	106	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	107	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	108	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	109	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	110	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	111	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	112	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	113	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	114	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	115	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	116	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	117	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	118	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	119	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	120	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	121	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	122	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	123	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	124	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	125	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	126	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	127	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	128	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	129	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	130	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	131	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	132	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	133	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	134	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	135	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	136	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	137	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	138	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	139	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	140	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	141	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	142	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	143	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	144	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	145	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	146	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	147	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	148	13	9	0	2	2	3	0
DUP00000217	1	558	9	852	149	13	9	0	2	2	3	0
