SV_ID	gene_count	exon_count	tran_count	rest_count	ID_regl	df1_count	df2_count	df3_count	df4_count	df5_count	df6_count	df7_count
BND00001270	1	0	9	0	14900	5	9	0	2	2	3	0
BND00002943	1	0	4	0	35901	10	3	0	0	0	0	0
BND00003095	1	0	1	0	35959	17	17	0	19	11	11	0
BND00004512	1	0	4	0	36524	0	0	0	0	0	0	0
BND00005018	1	0	16	0	36658	2	0	0	0	0	0	0
BND00005611	1	0	1	0	40591	6	3	0	0	0	0	0
BND00005675	1	84	4	100	40601	1	3	0	0	0	0	0
BND00005822	1	32	2	37	40628	8	0	0	0	0	0	0
DEL00000011	1	0	36	0	3	2	0	0	0	0	0	0
DEL00000013	1	0	1	0	5	2	0	0	0	0	0	0
DEL00000026	1	0	49	0	8	4	0	0	0	0	0	0
DEL00000089	1	34	4	46	38	19	0	0	0	0	0	0
DEL00000092	1	0	1	0	40	21	0	0	0	0	0	0
DEL00000093	1	0	1	0	41	21	0	0	0	0	0	0
DEL00000144	1	0	30	0	80	27	0	0	0	0	0	0
DEL00000145	1	0	30	0	81	27	0	0	0	0	0	0
DEL00000146	1	0	30	0	82	27	0	0	0	0	0	0
DEL00000151	1	0	1	0	85	27	0	0	0	0	0	0
DEL00000152	1	0	4	0	86	29	0	2	0	0	0	0
DEL00000158	1	0	2	0	88	27	0	0	0	0	0	0
DEL00000158	1	0	2	0	89	27	0	0	0	0	0	0
DEL00000158	1	0	2	0	90	27	0	0	0	0	0	0
DEL00000159	1	0	36	0	91	27	0	0	0	0	0	0
DEL00000163	1	0	100	0	93	26	0	0	0	0	0	0
DEL00000164	1	0	4	0	94	26	0	0	0	0	0	0
DEL00000168	1	0	16	0	96	24	0	0	0	0	0	0
DEL00000209	1	0	1	0	109	27	0	0	0	0	0	0
DEL00000213	1	0	1	0	111	26	0	0	0	0	0	0
DEL00000218	1	0	1	0	115	27	0	0	0	0	0	0
DEL00000229	1	0	1	0	121	26	0	0	0	0	0	1
DEL00000239	1	0	1	0	126	26	0	0	0	4	0	0
DEL00000251	1	0	1	0	131	11	0	0	0	0	0	0
DEL00000260	1	0	16	0	133	10	0	0	0	0	0	0
DEL00000265	1	0	1	0	137	8	0	0	0	0	0	0
DEL00000274	1	0	1	0	140	2	0	0	0	0	0	0
DEL00000284	1	0	1	0	142	0	0	0	0	0	0	0
DEL00000314	1	0	1	0	151	10	2	0	0	0	0	0
DEL00000316	1	0	1	0	152	10	2	0	0	0	0	0
DEL00000321	1	0	2	0	153	9	0	0	0	0	0	2
DEL00000323	1	0	4	0	154	9	0	0	0	0	0	0
DEL00000328	1	0	9	0	156	14	0	0	0	0	0	0
DEL00000346	1	0	36	0	162	10	0	0	0	0	0	0
DEL00000348	1	0	4	0	163	10	0	0	0	0	0	0
DEL00000371	1	0	4	0	175	12	0	2	0	0	0	0
DEL00000371	1	0	4	0	176	12	0	2	0	0	0	0
DEL00000371	1	0	4	0	177	12	0	2	0	0	0	0
DEL00000386	1	0	100	0	186	10	0	0	0	0	0	0
DEL00000395	1	0	35	0	193	9	0	0	0	0	0	0
DEL00000396	1	0	35	0	194	10	1	0	0	0	0	0
DEL00000401	1	0	1	0	198	12	0	0	0	2	0	0
DEL00000403	1	0	1	0	199	16	0	0	0	5	0	0
DEL00000418	1	0	25	0	206	7	0	0	0	0	0	0
DEL00000432	1	237	9	273	211	5	0	0	0	0	0	0
DEL00000434	1	0	6	0	212	5	0	0	0	0	0	0
DEL00000442	1	0	9	0	219	1	0	0	0	0	0	0
DEL00000445	1	0	4	0	220	2	0	0	0	0	0	0
DEL00000469	1	0	4	0	232	6	1	2	0	0	0	0
DEL00000469	1	0	4	0	233	6	1	2	0	0	0	0
DEL00000469	1	0	4	0	234	6	1	2	0	0	0	0
DEL00000469	1	0	4	0	235	6	1	2	0	0	0	0
DEL00000469	1	0	4	0	236	6	1	2	0	0	0	0
DEL00000470	1	0	4	0	237	3	0	0	0	0	0	0
DEL00000473	2	1	2	25	238	3	0	0	0	0	0	0
DEL00000477	1	0	16	0	239	3	0	0	0	0	0	0
DEL00000478	1	0	2	0	240	3	0	0	0	0	0	0
DEL00000478	1	0	2	0	241	3	0	0	0	0	0	0
DEL00000490	1	0	72	0	246	5	0	0	0	0	0	0
DEL00000513	1	0	1	0	254	7	1	2	0	0	0	0
DEL00000518	1	0	2	0	256	6	0	2	0	0	0	0
DEL00000525	1	42	1	63	258	6	0	2	0	2	2	0
DEL00000536	1	0	1	0	259	4	0	0	0	0	1	0
DEL00000550	1	0	1	0	262	10	2	0	0	0	0	0
DEL00000551	1	6	1	15	263	13	0	2	0	0	0	0
DEL00000603	1	0	36	0	14415	7	0	0	0	2	0	0
DEL00000604	1	0	1	0	14416	5	0	0	0	0	0	0
DEL00000604	1	0	1	0	14417	5	0	0	0	0	0	0
DEL00000607	2	1	5	9	14419	5	0	0	0	0	0	0
DEL00000611	1	0	1	0	14420	5	0	0	0	0	0	0
DEL00000662	1	0	4	0	14450	10	1	0	0	0	0	2
DEL00000663	1	0	4	0	14451	10	1	0	0	0	0	0
DEL00000707	1	0	16	0	14468	10	0	0	2	2	1	0
DEL00000708	1	0	4	0	14469	3	0	0	0	0	0	0
DEL00000713	1	0	1	0	14470	1	0	0	0	0	0	0
DEL00000722	1	0	4	0	14472	0	0	0	0	0	0	0
